author,thesis_title,class,paragraph,score_slowness,score_material,score_environmental_crisis,score_natural_world,score_equitable_design,score_stewardship,score_more_than_human
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Research Questions ● How can we use existing tools/systems/cases to reduce misinformation in mass communication? ● How can design support users in reducing confirmation biases and help them judge the authenticity of a piece of news? ● How can we design support dialogues between users to promote exposure to multiple perspectives?,0,0,0,0,45,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Abstract Fake news, as one of the most controversial social issues in recent years, has prompted intense discussion around the topics of propaganda, disinformation, post-truth political power etc. We are in the era, in which the information is speed1. decontextualized and disseminated at incredible This thesis addresses the phenomenon of users’ ideological polarization under the context of Confirmation misinformation in mass communications. By discussing the idea of Bias2, Filter Bubbles3, Serendipity and Deliberative Democracy, this thesis",0,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"1 Dan Silvestre, “Lessons from Amusing Ourselves to Death by Neil Postman,” Medium. Medium, September 11, 2018. 2 Plous, Scott, “The Psychology of Judgment and Decision Making,” p. 233 Technopedia, “Definition – What does Filter Bubble mean?,” 3 https://www.techopedia.com/definition/28556/filter-bubble",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,4 discusses how we as designers can respond to minimize disinformation and bias. This thesis argues that design can create serendipitous dialogue and experiences among users to minimize the ideological polarization.,0,0,0,0,55,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Introduction ARPAnet”4 The first Internet network developed in the 1960's was based on the utopian dream of a transparent, equal, and decentralised communication system. post-truth era5 Fifty years later we live in the so called as an epoch “in which objective facts are less influential in shaping public opinion than appeals to belief.”6 The emotion and personal online environment is a space where This invisibility, anonymity, and asynchronous communication shape interaction. thesis is an exploration in how to promote discourse and serendipity to connect users that are separated by bias. It discusses confirmation bias that is based on cultural background and how it can be overcome. It also questions how users’ desire influences the ability to absorb accurate information and the role of algorithms and propaganda. This thesis employs the concepts of “architecture of",0,0,0,0,40,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"4 History.com editors, The Invention of the Internet, https://www.history.com/topics/inventions/invention-of-the-internet 5 Dan Silvestre, “Lessons from Amusing Ourselves to Death by Neil Postman,” Medium. Medium, September 11, 2018. 6 Dan Silvestre, “Lessons from Amusing Ourselves to Death by Neil Postman.”",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"5 serendipity”7 democracy”8 and “deliberative to diversify the information input for users, to minimize ideology polarization and misinformation.",0,0,0,0,50,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Glossary Of Terms Misinformation False or inaccurate information, especially that which is deliberately intended to deceive.",0,0,0,0,15,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Subjective Truth “Subjective truth is a truth based on a person's perspective, feelings, or opinions. Everything we know is based on our input - our senses, our perception. Thus, everything we know is subjective. All truths are subjective.”",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Filter Bubble “a situation in which an Internet user encounters only information and opinions that conform to and reinforce their own beliefs, caused by algorithms that experience.”9 personalize an individual’s online",0,0,0,0,20,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Confirmation Bias “A psychological bias that People also tend to interpret ambiguous evidence as position.”10 supporting their existing,0,0,0,0,15,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Liz Danzico, “The Design of Serendipity is not by chance,” DOI: 7 http://doi.acm.org/10.1145/1836216.1836220 Jeff Cain (May 2016). ""The Emerging Issue of Digital Empathy,"" (American Journal of 8 Pharmaceutical Education 80 (4)) doi:10.5688/ Eli Pariser, https://www.lexico.com/en/definition/filter_bubble 9 10 “Confirmation Bias,” Dictionary.com, Dictionary.com, www.dictionary.com/browse/confirmation-bias?s=t. 6 Echo Chamber An environment in which a person encounters only beliefs or opinions that coincide with their own so that their existing views are reinforced and alternative considered.11 ideas are not",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Post-truth “Relating to or denoting circumstances in which objective facts are less influential belief.”12 in shaping public opinion than appeals to emotion and personal,0,0,0,0,15,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Architecture of Serendipity 13 A system or common space to encourage people to mingle together.,0,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,Deliberative Democracy A form of democracy in which deliberation is central to decision-making.14,0,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"11 Huffington Post, “The Huffington Post ""Are Filter-bubbles Shrinking Our Minds?"" (the Wayback Machine, 2016) 12 Dan Silvestre, “Lessons from Amusing Ourselves to Death by Neil Postman.” 13 Urbano Reviglio, Serendipity by Design? How to Turn from Diversity Exposure to Diversity Experience to Face Filter Bubbles in Social Media, Internet Science: 4th International Conference, INSCI 2017, Thessaloniki, Greece, November 22-24, 2017, Proceedings (pp.281-300)",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"14 Landemore, HÉLÈNE (2017). ""Deliberative Democracy as Open, Not ( Just) Representative Democracy"". Dædalus, the Journal of the American Academy of Arts & Sciences. 7 Fake News in Pandemic Situation",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"A commitment to telling the truth is thought to be one of the most essential attributes of the media. However, as the idea of “Fake news” - information that intentionally misleads the users - becomes popular and permeates both printed or digital media, we might claim that the function of the media has changed. Historically, fake news was fabricated to incite people politically or to gain prot. It is common throughout history. For example, The Lisbon Earthquake in 1755 was described as a religious event: “An entire genre of fake news pamphlets (relações de sucessos) emerged in Portugal, claiming that some survivors owed Mary.”15 their lives to an apparition of the Virgin",0,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Because of the popularity of social media, fake news disseminates faster and more widely. In the digital era, politics and profit are still the main drivers for misinformation, satire and sensationalism come second. Influenced by those simulations, fake news has evolved into more sophisticated mechanisms as communication technologies advance, including recommended systems and smooth user experience. Today, 60% Americans receive fake news from social media16.“In 2017, 29 percent of those surveyed worldwide said they ‘often or",0,0,0,0,40,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"15 Jacob Soll, “The long and Brutal History of Fake News.” https://www.politico.com/magazine/story/2016/12/fake-news-history-long-violent-214535. 16 Elle Hunt, ""What is fake news? How to spot it and what you can do to stop it,"" (The Guardian. Retrieved January 15, 2017.)",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"8 sometimes avoid the news,’ including 38 percent in the United States and 24 percent in the U.K. By 2019, those numbers had increased to 32 percent (+11).”17 worldwide (+3), 41 percent in the U.S. (+3), and 35 percent in the U.K. During the Covid 19 Pandemic, news has been reported to generate stress, exhaustion”18 anxiety, depression, fear, and The negative impact of misinformation has been enlarged as the viewers receive more news when they are quarantined than usual.",0,0,0,0,20,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"The quantity of news has been updated on a magnitude scale in every minute to track the pandemic situations. Moreover, The fear for unknown conditions pushes people to stare at the case number, twitter posts, and any related news reports. As compulsive viewers, people are probably to get accessibilities to misinformation unintentionally.",0,0,15,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Guy Berger is the Director for Policies and Strategies regarding Communication and Information at UNESCO, explaining that “There seems to be barely an area left untouched by disinformation in relation to the COVID-19 crisis, ranging from the origin of the coronavirus, through to unproven prevention and ‘cures’, and",0,0,15,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"17 Nic Newman, Richard Fletcher, Antonis Kalogeropoulos,“Reuter Institute Digital News Report 2019,”https://reutersinstitute.politics.ox.ac.uk/sites/default/files/2019-06/DNR_2019_FIN AL_0.pdf 18Joshua Benton, ”Why do some people avoid news? Because they don’t trust us — or because they don’t think we add value to their lives?”https://www.niemanlab.org/2019/06/why-do-some-people-avoid-news-because-th ey-dont-trust-us-or-because-they-dont-think-we-add-value-to-their-lives/",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"9 others.”19 encompassing responses by governments, companies, celebrities and Seriously, the fake news is wasting time and money, putting lives at risk.",0,0,0,0,30,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Confirmation Bias and Invisible Barrier Confirmation Bias, “is a psychological bias that People also tend to interpret position.”20 ambiguous evidence as supporting their existing Additionally, it’s the tendency to interpret ambiguous evidence as supporting an existing position. Discussing Conrmation bias means to explore the dissemination of fake news from the perspective of the individual users. Why does one believe and share fake news? The cognitive process of receiving Exploratory Confirmatory thought.21 information uses two modes: thought and Confirmatory thought is designed to construct justification supporting a specific view.22 point of When people justify the authenticity of information, they are applying Confirmatory thought. We tend to believe what we already know and believe true, and consequently we can support and disseminate fake news if they confirm our beliefs. Because of confirmation bias, we are less sensitive to truthful information.",0,0,0,0,40,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"19 “During This Coronavirus Pandemic, 'Fake News' Is Putting Lives at Risk: UNESCO | | UN News.” UN News, news.un.org/en/story/2020/04/1061592 20 “Confirmation Bias,” Dictionary.com, Dictionary.com, www.dictionary.com/browse/confirmation-bias?s=t. Schneider, ed. by Sandra L.; Shanteau, James (2003). Emerging perspectives on 21 judgment and decision research. Cambridge [u.a.]: Cambridge Univ. Press. pp. 438–9. ISBN 052152718X. 22 Ibid.",0,0,0,0,0,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"10 Another concept that helps explain our bias is wishful thinking and the limited human capacity to process information.23 Wishful thinking is particularly evident in decision making processes: we choose the information that is the easiest to understand, that reinforce our benefit, or follow our belief.",0,0,0,0,25,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"Language barrier is a figurative phrase used primarily to refer to linguistic barriers to communication, which became particularly evident during the 2020 Covid19 pandemic. As the Internet community becomes global, language barriers play a fundamental role in how we process information. As testified by Confirmation bias, individuals appear to prefer receiving information in the language they are familiar with. It takes extra energy to understand the meaning of a message in a foreigner language, especially beyond superficial understanding. Consequently, it’s common for readers to isolate themselves from information in foreign languages. For example, English-speaking users feel quite intimidated when they are using chinese social media like Weibo. Weibo is one of the main media in Chinese-speaking world, it functions both as social media and a news outlet for official media. At present, the amount of monthly active users in Weibo has reached 516 million, most of the users receive news from the hot topic posts.24 hashtags and users’ Despite being no Firewall, information on Weibo has",0,0,0,0,35,0,0
Xinyue Nie,"Post-Truth Era, Polarization, and Discourse by Serendipity",des797,"*Mahoney, Michael J.; DeMonbreun, B.G. (1977), ""Psychology of the scientist: An 23 analysis of problem-solving bias"", Cognitive Therapy and Research, 1 (3): 229–38, doi:10.1007/BF01186796 “2019 Weibo user development report.” 24 https://www.google.com/search?client=firefox-b-1-d&q=2019%E5%BE%AE%E5%8D%9 A%E7%94%A8%E6%88%B7%E5%8F%91%E5%B1%95%E6%8A%A5%E5%91%8A 11 been ignored by the western world. News from Weibo is seldom showing on Apple News nor any English-based news platform. The phenomenon is not better when people who are out of English-speaking world search for information worldwide. The language barrier aggravates the gaps of understanding and recognition, causing stereotypes.",0,0,0,0,0,0,0
